lmd_id,store,merchant_homepage,long_offer,title,description,code,terms_and_conditions,categories,featured,publisher_exclusive,url,smartlink,image_url,type,offer,offer_value,status,start_date,end_date
1122824,au.zaful.com,https://au.zaful.com/,"Boxing Day Carnival - Avail Buy 3 Get 20 % Discount on Decor and Accessories","Boxing Day Carnival - Avail Buy 3 Get 20 % Discount","This offer is valid on Decor and Accessories",,,"Fashion,Eyewear,Jewellery,Fashion Accessories,Home and Living,Furniture and Decor,Travel,Travel Accessories",Yes,N,https://au.zaful.com/promotion/zaful-christmas-holiday-shop-accessories.html,https://smartlink.linkmydeals.com/?account_id=13570&network=&url=https%3A%2F%2Fau.zaful.com%2Fpromotion%2Fzaful-christmas-holiday-shop-accessories.html,,Deal,Sale,Sale,active,2022-12-17,2023-04-09
1122864,au.zaful.com,https://au.zaful.com/,"Get Buy 5 Get 25% off on Decor and Accessories","Avail Buy 5 Get 25% off","This coupon is valid on Decor and Accessories",,,"Fashion,Eyewear,Jewellery,Fashion Accessories,Home and Living,Furniture and Decor,Travel,Travel Accessories",Yes,N,https://au.zaful.com/promotion/zaful-christmas-holiday-shop-accessories.html,https://smartlink.linkmydeals.com/?account_id=13570&network=&url=https%3A%2F%2Fau.zaful.com%2Fpromotion%2Fzaful-christmas-holiday-shop-accessories.html,,Deal,BOGO,"Buy &amp; Get",active,2022-12-17,2023-04-09
821694,au.zaful.com,https://au.zaful.com/,"Get $30 off on all products","$30 OFF","This voucher is valid on all products (On Min. Purchase of $200. Only for New users)",ZFIRST,,"Fashion,Womens Apparels,Lingerie",No,N,https://au.zaful.com/,https://smartlink.linkmydeals.com/?account_id=13570&network=&url=https%3A%2F%2Fau.zaful.com%2F,https://c.cfjump.com/Avatars/ECED3475-931C-41F1-B3CD-513CD7FDFDCA.png,Code,Sign-Up,"Sign-Up Offer",active,2022-01-19,2024-01-01
821693,au.zaful.com,https://au.zaful.com/,"Get $50 Off on all products","Avail $50 discount","This voucher is valid on all products (On Min. Purchase of $300)",CLOSET,,"Fashion,Womens Apparels",No,N,https://au.zaful.com/,https://smartlink.linkmydeals.com/?account_id=13570&network=&url=https%3A%2F%2Fau.zaful.com%2F,https://c.cfjump.com/Avatars/ECED3475-931C-41F1-B3CD-513CD7FDFDCA.png,Code,Price-Off,$50,active,2022-01-19,2024-01-01
1118752,au.zaful.com,https://au.zaful.com/,"Sweaters and Cardigans starting at just AU$36.72","Sweaters and Cardigans","AU$36.72 onwards",,,"Fashion,Mens Apparels",No,N,https://au.zaful.com/home/Men?tab=Men,https://smartlink.linkmydeals.com/?account_id=13570&network=&url=https%3A%2F%2Fau.zaful.com%2Fhome%2FMen%3Ftab%3DMen,https://uidesign.zafcdn.com/ZF/image/11923/au-05.jpg?impolicy=high,Deal,Offer,"Super Offer",active,2023-02-18,2023-04-11
1160272,au.zaful.com,https://au.zaful.com/,"Avail $2.30 OFF on Alloy Faux Pearl Choker Clavicle Necklace","Get $2.30 off","Applicable on Alloy Faux Pearl Choker Clavicle Necklace",ZACC34,,"Fashion,Jewellery",No,N,https://www.zaful.com/alloy-faux-pearl-choker-clavicle-necklace-puid_4866911.html,https://smartlink.linkmydeals.com/?account_id=13570&network=&url=https%3A%2F%2Fwww.zaful.com%2Falloy-faux-pearl-choker-clavicle-necklace-puid_4866911.html,https://c.cfjump.com/Avatars/ECED3475-931C-41F1-B3CD-513CD7FDFDCA.png,Code,Price-Off,$2.30,active,2023-03-27,2023-05-01
1160273,au.zaful.com,https://au.zaful.com/,"$2.20 off on Layered Sequins Y Shaped Lariat Necklace","$2.20 discount","This voucher is valid on Layered Sequins Y Shaped Lariat Necklace",ZACC35,,"Fashion,Jewellery",No,N,https://www.zaful.com/layered-sequins-y-shaped-necklace-puid_4665028.html,https://smartlink.linkmydeals.com/?account_id=13570&network=&url=https%3A%2F%2Fwww.zaful.com%2Flayered-sequins-y-shaped-necklace-puid_4665028.html,https://c.cfjump.com/Avatars/ECED3475-931C-41F1-B3CD-513CD7FDFDCA.png,Code,Price-Off,$2.20,active,2023-03-27,2023-05-01
1160274,au.zaful.com,https://au.zaful.com/,"$4.50 discount on Street Fashion All match Sunglasses","$4.50 Discount","Applicable on Street Fashion All match Sunglasses",ZACC39,,"Fashion,Eyewear",No,N,https://www.zaful.com/street-fashion-all-match-sunglasses-puid_5024531.html,https://smartlink.linkmydeals.com/?account_id=13570&network=&url=https%3A%2F%2Fwww.zaful.com%2Fstreet-fashion-all-match-sunglasses-puid_5024531.html,https://c.cfjump.com/Avatars/ECED3475-931C-41F1-B3CD-513CD7FDFDCA.png,Code,Price-Off,$4.50,active,2023-03-27,2023-05-01
1160275,au.zaful.com,https://au.zaful.com/,"$2.70 OFF on Sporty Windproof Warp Around Sunglasses","Get $2.70 Discount","Valid on Sporty Windproof Warp Around Sunglasses",ZACC40,,"Fashion,Eyewear",No,N,https://www.zaful.com/sporty-windproof-warp-around-sunglasses-puid_5074214.html,https://smartlink.linkmydeals.com/?account_id=13570&network=&url=https%3A%2F%2Fwww.zaful.com%2Fsporty-windproof-warp-around-sunglasses-puid_5074214.html,https://c.cfjump.com/Avatars/ECED3475-931C-41F1-B3CD-513CD7FDFDCA.png,Code,Price-Off,$2.70,active,2023-03-27,2023-05-01
974416,au.zaful.com,https://au.zaful.com/,"Additional 15% OFF on all products","Additional 15% Off","This offer is applicable on all products (For new customers only)",,,"Fashion,Mens Apparels,Womens Apparels,Footwear,Handbags and Wallets,Jewellery,Travel,Travel Accessories",No,N,https://au.zaful.com/,https://smartlink.linkmydeals.com/?account_id=13570&network=&url=https%3A%2F%2Fau.zaful.com%2F,,Deal,Sign-Up,"Sign-Up Offer",active,2020-12-31,2023-04-11
